"Country.Code","City","Location","Latitude","Longitude","Pollutant","Source.Name","Unit","Value","Last.Updated","Country.Label"
"FR","","Home",45.271894982689,5.6790270589692,"PM1","airgradient","µg/m³",1.103174607,"2024-09-19T10:00:00+02:00","France"
"FR","PANTIN","RN2-PANTIN",48.9022199998218,2.39083299971474,"NO2","eea","µg/m³",48.3,"2024-09-18T23:00:00+02:00","France"
"FR","MONTOIR-DE-BRETAGNE","CAME",47.3210799999773,-2.12732200005993,"SO2","eea","µg/m³",0.5,"2024-09-16T23:00:00+02:00","France"
"FR","BRIVE-LA-GAILLARDE","BRIVE - Dalton",45.1587370002402,1.53725900002356,"O3","eea","µg/m³",35.1,"2024-09-18T23:00:00+02:00","France"
"FR","BEUIL","CIANS",44.0946899996974,6.9889779997719,"O3","eea","µg/m³",82.6,"2024-09-18T23:00:00+02:00","France"
"FR","BORDEAUX","GRAND PARC",44.8612099998848,-0.580370000254293,"O3","eea","µg/m³",33.2,"2024-09-18T23:00:00+02:00","France"
"FR","MÉRIGNAC","MERIGNAC",44.8413730001661,-0.65106799971438,"NO","eea","µg/m³",11.8,"2024-03-11T08:00:00+01:00","France"
"FR","GUÉRET","GUERET - Nicolas",46.1736200000662,1.87302399978817,"O3","eea","µg/m³",39.3,"2024-09-18T23:00:00+02:00","France"
"FR","RENNES","Rennes Thabor",48.1152100001935,-1.67308799988918,"NO","eea","µg/m³",25.8,"2024-03-11T08:00:00+01:00","France"
"FR","MONTGERON","MONTGERON",48.7066999998811,2.45720000020453,"O3","eea","µg/m³",67.4,"2024-09-18T23:00:00+02:00","France"
"FR","GRAND-COURONNE","Gd Couronne Mairie",49.358214999835,1.00785300040897,"PM10","eea","µg/m³",46.4,"2024-09-18T23:00:00+02:00","France"
"FR","LA PETITE-PIERRE","Vosges du Nord",48.8573100002683,7.31417500024352,"O3","eea","µg/m³",90.9,"2024-09-18T23:00:00+02:00","France"
"FR","LE PALAIS-SUR-VIENNE","PALAIS S/ V.- Garros",45.8733100001496,1.30791599981697,"O3","eea","µg/m³",60.8,"2024-09-18T23:00:00+02:00","France"
"FR","STRASBOURG","Strasbourg A35 Remparts",48.5880550000064,7.72972199987815,"PM10","eea","µg/m³",45.9,"2024-09-18T23:00:00+02:00","France"
"FR","BAIE-MAHAULT","ST de Baie mahault",16.2573069997402,-61.5917240003607,"NO2","eea","µg/m³",6.5,"2024-09-18T23:00:00+02:00","France"
"FR","CANNES","CANNES BROUSSAILLES",43.5583879998064,7.00591899983004,"NO","eea","µg/m³",11.9,"2024-03-11T10:00:00+01:00","France"
"FR","BOURG-EN-BRESSE","Bourg-en-Bresse",46.2116659998982,5.22638900029136,"PM2.5","eea","µg/m³",5.7,"2024-09-16T23:00:00+02:00","France"
"FR","CHÂTEAUROUX","Chateauroux Sud",46.7982800002074,1.69313899980028,"O3","eea","µg/m³",22.1,"2024-09-18T23:00:00+02:00","France"
"FR","CHÂTEAUROUX","Chateauroux Sud",46.7982800002074,1.69313899980028,"NO2","eea","µg/m³",29.6,"2024-09-18T23:00:00+02:00","France"
"FR","CAEN","Caen Chemin-Vert",49.1922200000328,-0.391111000326555,"PM2.5","eea","µg/m³",27.4,"2024-09-18T23:00:00+02:00","France"
"FR","ANNECY","ANNECY Rocade",45.9096999999883,6.11824999958726,"NO","eea","µg/m³",55,"2024-03-11T10:00:00+01:00","France"
"FR","ANNEMASSE","ANNEMASSE",46.1958299999168,6.24055600011761,"NO2","eea","µg/m³",35.3,"2024-09-18T23:00:00+02:00","France"
"FR","NEVERS","Nevers",46.9968259997978,3.17109200001237,"PM2.5","eea","µg/m³",7.6,"2024-09-16T08:00:00+02:00","France"
"FR","ANNECY","NOVEL",45.9169430001156,6.13555600041669,"O3","eea","µg/m³",42.5,"2024-09-18T23:00:00+02:00","France"
"FR","LABASTIDE-CÉZÉRACQ","LABASTIDE CEZERACQ",43.376278000024,-0.538206000342397,"SO2","eea","µg/m³",0.7,"2024-09-18T23:00:00+02:00","France"
